index,city,Lat,Lon,max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
34,Diego de Almagro,-26.3667,-70.05,82.83,8.0,0.0,9.26,CL,1627842367.0
7,Ubari,26.5921,12.7805,95.99,8.0,0.0,8.08,LY,1627842363.0
15,Gazli,40.1333,63.45,89.89,9.0,0.0,14.5,UZ,1627842364.0
453,Tabas,33.5959,56.9244,91.6,9.0,12.0,10.02,IR,1627842422.0
438,Sabha,27.0377,14.4283,95.97,9.0,0.0,6.04,LY,1627842420.0
483,Bereket,39.2446,55.5154,88.72,11.0,88.0,5.77,TM,1627842426.0
563,Mehrān,33.1222,46.1646,96.28,11.0,5.0,6.17,IR,1627842436.0
254,Bani Walid,31.7566,13.9942,96.39,12.0,0.0,13.06,LY,1627842397.0
400,Kaka,37.3482,59.6143,85.48,12.0,12.0,6.8,TM,1627842257.0
81,Abnūb,27.2696,31.1511,97.47,13.0,32.0,9.37,EG,1627842373.0
257,Bam,29.106,58.357,93.34,13.0,18.0,9.42,IR,1627842397.0
568,Balkanabat,39.5108,54.3671,89.29,14.0,95.0,3.83,TM,1627842437.0
300,Taoudenni,22.6783,-3.9836,110.08,14.0,29.0,15.99,ML,1627842403.0
537,Zabul Province,32.25,67.25,76.86,14.0,0.0,11.56,AF,1627842433.0
128,Adrar,20.5022,-10.0711,105.37,16.0,64.0,6.85,MR,1627842380.0
588,Urubichá,-15.3833,-62.95,83.93,16.0,65.0,7.0,BO,1627842440.0
476,Coxim,-18.5067,-54.76,90.81,17.0,6.0,6.6,BR,1627842425.0
184,Bethanien,-26.502,17.1583,63.68,18.0,0.0,10.54,NA,1627842387.0
511,Turaif,31.6725,38.6637,89.85,18.0,0.0,11.5,SA,1627842429.0
352,Aksu,41.1231,80.2644,77.38,18.0,98.0,0.98,CN,1627842409.0
592,Mozarlândia,-14.7447,-50.5706,97.3,18.0,6.0,2.1,BR,1627842440.0
575,Zhangaözen,43.3,52.8,89.04,18.0,3.0,7.76,KZ,1627842438.0
552,Comodoro Rivadavia,-45.8667,-67.5,64.26,19.0,0.0,20.71,AR,1627842435.0
516,Kazygurt,41.7589,69.3864,87.58,19.0,40.0,4.9,KZ,1627842430.0
45,Sarakhs,36.5449,61.1577,82.54,20.0,1.0,4.61,IR,1627842368.0
143,Arlit,18.7369,7.3853,101.91,20.0,1.0,6.26,NE,1627842382.0
247,Conceição do Araguaia,-8.2578,-49.2647,98.87,21.0,9.0,8.79,BR,1627842396.0
397,Malatya Province,38.5,38.0,87.85,21.0,0.0,19.57,TR,1627842413.0
37,Gull Lake,50.1001,-108.4847,88.16,21.0,9.0,6.71,CA,1627842367.0
89,Shaunavon,49.6501,-108.4181,85.78,21.0,12.0,5.79,CA,1627842374.0
449,Marrakesh,31.6315,-8.0083,91.47,22.0,20.0,6.91,MA,1627842163.0
286,Ritchie,-29.038,24.6028,54.61,22.0,35.0,9.73,ZA,1627842401.0
240,San Miguel de Tucumán,-26.8241,-65.2226,69.8,23.0,0.0,6.91,AR,1627842395.0
361,Atar,20.5169,-13.0499,103.28,23.0,63.0,9.4,MR,1627842411.0
380,Great Falls,47.5002,-111.3008,89.92,23.0,1.0,1.01,US,1627842413.0
219,Najrān,17.4924,44.1277,93.85,23.0,98.0,6.76,SA,1627842131.0
193,Araouane,18.9048,-3.5265,101.68,23.0,9.0,8.61,ML,1627842389.0
155,San Rafael,-34.6177,-68.3301,64.6,24.0,1.0,13.18,AR,1627842384.0
72,Camacupa,-12.0167,17.4833,66.79,24.0,3.0,3.4,AO,1627842372.0
399,Izvor,42.2039,21.5783,88.23,24.0,22.0,6.98,MK,1627842415.0
221,Mirassol,-20.8192,-49.5211,78.48,24.0,0.0,0.0,BR,1627842392.0
97,Mochudi,-24.4167,26.15,52.39,25.0,1.0,3.31,BW,1627842375.0
455,Zhezkazgan,47.8043,67.7144,86.47,25.0,67.0,9.24,KZ,1627842422.0
591,Reitz,-27.8014,28.4273,49.87,26.0,27.0,9.24,ZA,1627842440.0
492,Alta Floresta,-9.8756,-56.0861,96.62,26.0,40.0,9.22,BR,1627842427.0
513,Puerto Madryn,-42.7692,-65.0385,66.16,26.0,17.0,17.4,AR,1627842430.0
428,Kaniama,-7.5667,24.1833,75.76,26.0,53.0,1.32,CD,1627842419.0
270,Rawson,-43.3002,-65.1023,63.21,27.0,10.0,12.55,AR,1627842399.0
567,Bahía Blanca,-38.7196,-62.2724,58.69,27.0,66.0,7.87,AR,1627842437.0
165,Nador,35.174,-2.9287,84.27,27.0,0.0,9.22,MA,1627842385.0
554,Shahdad Kot,27.8477,67.9055,102.56,28.0,60.0,9.84,PK,1627842435.0
256,Iranshahr,27.2025,60.6848,102.54,29.0,40.0,9.22,IR,1627842397.0
14,Mar del Plata,-38.0023,-57.5575,50.02,29.0,20.0,1.99,AR,1627842364.0
297,Lodja,-3.4833,23.4333,77.97,30.0,75.0,1.41,CD,1627842403.0
263,Viedma,-40.8135,-62.9967,59.05,30.0,23.0,20.62,AR,1627842398.0
4,Yellowknife,62.456,-114.3525,85.32,30.0,20.0,1.99,CA,1627842363.0
529,Manono,-7.3,27.4167,78.58,31.0,13.0,5.91,CD,1627842432.0
517,Demirci,39.0461,28.6589,77.88,32.0,2.0,10.76,TR,1627842430.0
566,Matamoros,25.5333,-103.25,89.71,32.0,40.0,0.0,MX,1627842437.0
188,Yangi Marg`ilon,40.4272,71.7189,81.82,32.0,95.0,18.41,UZ,1627842388.0
