index,city,Lat,Lon,max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
442,Sūsangerd,31.5608,48.1831,42.01,6.0,0.0,9.63,IR,1627492623.0
95,Adrar,20.5022,-10.0711,42.78,10.0,66.0,4.56,MR,1627492579.0
78,Taoudenni,22.6783,-3.9836,45.29,10.0,24.0,4.1,ML,1627492576.0
438,Nālūt,30.3333,10.85,36.53,11.0,0.0,5.21,LY,1627492622.0
535,Buraidah,26.326,43.975,38.72,11.0,10.0,4.45,SA,1627492132.0
431,Farah,32.5,62.5,34.16,12.0,26.0,1.97,AF,1627492621.0
344,Abnūb,27.2696,31.1511,35.18,13.0,40.0,5.12,EG,1627492609.0
42,Jalu,29.0331,21.5482,35.95,15.0,0.0,4.6,LY,1627492570.0
286,Arys,42.4252,68.795,28.12,15.0,0.0,6.39,KZ,1627492602.0
172,Shache,38.4167,77.2406,30.94,15.0,6.0,4.68,CN,1627492588.0
547,Copiapó,-27.3667,-70.3333,11.83,16.0,0.0,2.5,CL,1627492639.0
96,Awjilah,29.1081,21.2869,35.76,16.0,0.0,4.6,LY,1627492579.0
464,Yumen,40.2833,97.2,27.14,17.0,0.0,5.4,CN,1627492625.0
366,Korla,41.7597,86.1469,33.11,19.0,40.0,2.27,CN,1627492612.0
619,Fasa,28.9383,53.6482,32.58,21.0,20.0,0.0,IR,1627492648.0
240,Neepawa,50.2289,-99.4664,27.22,23.0,97.0,8.0,CA,1627492597.0
76,Bilma,18.6853,12.9164,37.88,23.0,100.0,3.74,NE,1627492575.0
519,Rapid Valley,44.0625,-103.1463,36.78,24.0,1.0,2.68,US,1627492633.0
300,Demba,-5.51,22.2667,26.06,24.0,9.0,1.23,CD,1627492506.0
379,Villarrica,-25.75,-56.4333,15.32,24.0,0.0,5.47,PY,1627492614.0
177,Vera Cruz,-12.6333,-41.0333,29.76,25.0,17.0,0.63,BR,1627492589.0
336,Ladário,-19.0047,-57.6017,17.05,26.0,75.0,5.14,BR,1627492609.0
294,Conceição do Araguaia,-8.2578,-49.2647,35.07,26.0,0.0,2.06,BR,1627492603.0
123,Kidal,18.4411,1.4078,37.42,26.0,58.0,4.31,ML,1627492582.0
603,Sexsmith,55.35,-118.786,21.64,28.0,20.0,4.63,CA,1627492646.0
605,Lodja,-3.4833,23.4333,27.29,28.0,49.0,0.87,CD,1627492646.0
113,Lábrea,-7.2586,-64.7981,36.2,28.0,55.0,1.67,BR,1627492581.0
445,Irpa Irpa,-17.7167,-66.2667,24.0,29.0,10.0,3.26,BO,1627492623.0
382,Lubango,-14.9172,13.4925,16.68,29.0,9.0,2.77,AO,1627492615.0
254,Khovd,48.0056,91.6419,18.71,29.0,0.0,0.1,MN,1627492598.0
568,Shaunavon,49.6501,-108.4181,17.88,29.0,100.0,4.15,CA,1627492641.0
331,Boissevain,49.2306,-100.0559,24.28,30.0,99.0,7.52,CA,1627492608.0
467,San Juan,-31.5375,-68.5364,10.38,30.0,0.0,1.46,AR,1627492431.0
218,Winnemucca,40.973,-117.7357,28.39,30.0,1.0,2.06,US,1627492594.0
299,Inyonga,-6.7167,32.0667,21.35,31.0,22.0,1.71,TZ,1627492604.0
602,Shelui,-4.3667,34.2,25.36,31.0,39.0,2.25,TZ,1627492646.0
183,Ewo,-0.8725,14.8206,31.34,31.0,91.0,2.12,CG,1627492590.0
385,Castlewood,39.5847,-104.9011,33.38,32.0,1.0,0.45,US,1627492615.0
114,Chapais,49.7834,-74.8492,17.88,32.0,9.0,2.94,CA,1627492581.0
499,Anguillara Sabazia,42.0875,12.2767,34.26,32.0,26.0,4.18,IT,1627492630.0
289,Karasburg,-28.0167,18.75,12.5,32.0,0.0,5.47,NA,1627492603.0
36,San Luis,-33.295,-66.3356,8.47,32.0,0.0,2.75,AR,1627492352.0
260,Yangi Marg`ilon,40.4272,71.7189,28.4,34.0,1.0,3.09,UZ,1627492599.0
480,Umeå,63.8284,20.2597,26.96,34.0,0.0,4.63,SE,1627492627.0
444,Panjāb,34.388,67.0233,18.61,34.0,0.0,3.04,AF,1627492623.0
406,Santa Maria da Boa Vista,-8.8078,-39.8256,31.74,34.0,4.0,3.63,BR,1627492618.0
591,Carbonia,39.1672,8.5222,31.53,34.0,0.0,2.49,IT,1627492644.0
259,Oriximiná,-1.7656,-55.8661,34.5,34.0,3.0,2.91,BR,1627492599.0
219,Talcahuano,-36.7167,-73.1167,16.82,34.0,0.0,5.14,CL,1627492594.0
271,Mumbwa,-14.9783,27.0619,16.46,35.0,13.0,2.35,ZM,1627492600.0
85,Saint George,37.1041,-113.5841,34.74,35.0,29.0,0.45,US,1627492577.0
277,Spirit River,55.7833,-118.8361,22.29,36.0,64.0,4.17,CA,1627492601.0
162,Porto Walter,-8.2686,-72.7439,35.41,37.0,43.0,0.46,BR,1627492587.0
583,Deep River,46.1001,-77.4995,23.02,37.0,21.0,0.89,CA,1627492488.0
324,Blythe,33.6103,-114.5964,37.8,38.0,1.0,2.06,US,1627492607.0
570,Sur,22.5667,59.5289,37.35,38.0,99.0,4.72,OM,1627492641.0
360,Urcos,-13.6861,-71.6228,15.94,38.0,70.0,3.6,PE,1627492612.0
56,Castro,-24.7911,-50.0119,10.7,38.0,54.0,4.68,BR,1627492572.0
500,Province of Trapani,37.8333,12.6667,37.62,38.0,0.0,2.36,IT,1627492449.0
205,General Pico,-35.6566,-63.7568,9.56,39.0,3.0,4.08,AR,1627492494.0
127,Agía Galíni,35.1,24.6833,32.08,39.0,0.0,0.89,GR,1627492583.0
43,Kropotkin,45.4375,40.5756,24.4,39.0,7.0,3.16,RU,1627492493.0
252,Lata,40.1629,-8.3327,32.8,39.0,0.0,4.97,PT,1627492598.0
551,Rodrigues Alves,-7.738,-72.6509,33.11,39.0,6.0,0.49,BR,1627492639.0
97,Pemberton,50.3164,-122.8027,30.67,40.0,0.0,0.68,CA,1627492579.0
302,Toktogul,41.8708,72.9402,25.73,40.0,2.0,0.37,KG,1627492604.0
413,La Santisima Trinidad,-14.8333,-64.9,19.99,40.0,75.0,8.23,BO,1627492619.0
483,Bosaso,11.2842,49.1816,32.97,40.0,90.0,10.05,SO,1627492627.0
542,Jacareacanga,-6.2222,-57.7528,34.17,40.0,20.0,2.06,BR,1627492638.0
63,Constitución,-35.3333,-72.4167,13.95,40.0,0.0,1.09,CL,1627492573.0
380,Molteno,-31.3968,26.3625,9.6,40.0,25.0,4.46,ZA,1627492614.0
597,Rovaniemi,66.5,25.7167,25.67,41.0,0.0,3.09,FI,1627492501.0
505,Hearst,49.6835,-83.6665,23.14,41.0,100.0,4.9,CA,1627492631.0
423,Rawson,-43.3002,-65.1023,10.62,41.0,19.0,5.92,AR,1627492620.0
498,Farmington,36.7281,-108.2187,28.76,41.0,1.0,0.0,US,1627492630.0
200,Kumluca,36.3703,30.2869,31.8,43.0,0.0,2.38,TR,1627492592.0
525,Novoukrainskiy,44.8969,38.0522,25.48,43.0,14.0,3.61,RU,1627492634.0
335,Kondoa,-4.9,35.7833,19.25,43.0,33.0,2.32,TZ,1627492608.0
604,San Angelo,31.4638,-100.437,33.86,43.0,1.0,1.34,US,1627492646.0
